SPX_DATE,SPX_HIGH,SPX_LOW,SPX_OPEN,SPX_CLOSE,VIX
4/2/1996,655.27,652.81,653.73,655.26,16.45
4/3/1996,655.89,651.81,655.26,655.88,16.33
4/4/1996,656.68,654.89,655.88,655.86,16.18
4/8/1996,655.86,638.04,655.86,644.24,18.72
4/9/1996,646.33,640.84,644.24,642.19,17.32
4/10/1996,642.78,631.76,642.19,633.5,20.22
4/11/1996,635.26,624.14,633.5,631.18,19.65
4/12/1996,637.14,631.18,631.18,636.71,17.38
4/15/1996,642.49,636.71,636.71,642.49,16.83
4/16/1996,645.57,642.15,642.49,645,16.45
4/17/1996,645,638.71,645,641.61,17.07
4/18/1996,644.66,640.76,641.61,643.61,16.41
4/19/1996,647.32,643.61,643.61,645.07,15.12
4/22/1996,650.91,645.07,645.07,647.89,15.38
4/23/1996,651.59,647.7,647.89,651.58,15.01
4/24/1996,653.37,648.25,651.58,650.17,14.91
4/25/1996,654.18,647.06,650.17,652.87,14.72
4/26/1996,656.43,651.96,652.87,653.46,14.75
4/29/1996,654.71,651.6,653.46,654.16,15.45
4/30/1996,654.59,651.05,654.16,654.17,15.83
5/1/1996,656.44,652.26,654.17,654.58,16.07
5/2/1996,654.58,642.13,654.58,643.38,18.62
5/3/1996,648.45,640.23,643.38,641.63,16.7
5/6/1996,644.64,636.19,641.63,640.81,16.92
5/7/1996,641.4,636.96,640.81,638.26,16.87
5/8/1996,644.79,630.07,638.26,644.77,15.78
5/9/1996,647.95,643.18,644.77,645.44,16.99
5/10/1996,653,645.44,645.44,652.09,15.61
5/13/1996,662.16,652.09,652.09,661.51,15.16
5/14/1996,666.96,661.51,661.51,665.6,14.9
5/15/1996,669.82,664.46,665.6,665.42,15.59
5/16/1996,667.11,662.79,665.42,664.85,15.71
5/17/1996,669.84,664.85,664.85,668.91,15.13
5/20/1996,673.66,667.64,668.91,673.15,15.8
5/21/1996,675.56,672.26,673.15,672.76,16
5/22/1996,678.42,671.23,672.76,678.42,15.5
5/23/1996,681.1,673.45,678.42,676,16.17
5/24/1996,679.72,676,676,678.51,15.54
5/28/1996,679.98,671.52,678.51,672.23,16.92
5/29/1996,673.73,666.09,672.23,667.93,17.15
5/30/1996,673.51,664.56,667.93,671.7,16.02
5/31/1996,673.46,667,671.7,669.12,16.07
6/3/1996,669.12,665.19,669.12,667.68,16.86
6/4/1996,672.6,667.68,667.68,672.56,16.18
6/5/1996,678.45,672.09,672.56,678.44,16.04
6/6/1996,680.32,673.02,678.44,673.03,16.84
6/7/1996,673.31,662.48,672.55,673.31,16.1
6/10/1996,673.61,670.15,673.31,672.16,16.78
6/11/1996,676.72,669.94,672.16,670.97,16.68
6/12/1996,673.67,668.77,670.97,669.04,17
6/13/1996,670.54,665.49,669.04,667.92,17.12
6/14/1996,668.4,664.35,667.92,665.85,18.64
6/17/1996,668.27,664.09,665.85,665.16,17.46
6/18/1996,666.36,661.34,665.16,662.06,17.45
6/19/1996,665.62,661.21,662.06,661.96,17.54
6/20/1996,664.96,658.75,661.96,662.1,16.97
6/21/1996,666.84,662.1,662.1,666.84,15.8
6/24/1996,671.07,666.84,666.84,668.85,15.91
6/25/1996,670.65,667.29,668.85,668.48,15.43
6/26/1996,668.49,663.67,668.48,664.39,15.23
6/27/1996,668.9,661.56,664.39,668.55,14.19
6/28/1996,672.68,668.55,668.55,670.63,13.68
7/1/1996,675.88,670.63,670.63,675.88,13.78
7/2/1996,675.88,672.55,675.88,673.61,14.19
7/3/1996,673.64,670.21,673.61,672.4,14.21
7/5/1996,672.4,657.41,672.4,657.44,16.09
7/8/1996,657.65,651.13,657.44,652.54,16.42
7/9/1996,656.6,652.54,652.54,654.75,15.49
7/10/1996,656.27,648.39,654.75,656.06,15.51
7/11/1996,656.06,639.52,656.06,645.67,17.81
7/12/1996,647.64,640.21,645.67,646.19,17.09
7/15/1996,646.19,629.69,646.19,629.8,20.11
7/16/1996,631.99,605.88,629.8,628.37,20.1
7/17/1996,636.61,628.37,628.37,634.07,19.22
7/18/1996,644.44,633.29,634.07,643.56,17.93
7/19/1996,643.51,635.5,643.51,638.73,17.26
7/22/1996,638.73,630.38,638.73,633.77,20.41
7/23/1996,637.7,625.65,633.79,626.87,21.55
7/24/1996,629.1,616.43,626.19,626.65,21.44
7/25/1996,633.57,626.65,626.65,631.17,19.39
7/26/1996,636.23,631.18,631.18,635.9,17.45
7/29/1996,635.9,630.9,635.9,630.91,20.09
7/30/1996,635.26,629.22,630.91,635.26,20.53
7/31/1996,640.54,633.74,635.26,639.95,19.46
8/1/1996,650.66,639.49,639.95,650.02,18.76
8/2/1996,662.49,650.02,650.02,662.49,16.19
8/5/1996,663.64,659.03,662.49,660.23,17.36
8/6/1996,662.75,656.83,660.23,662.38,16.93
8/7/1996,664.61,660,662.38,664.16,16.24
8/8/1996,664.17,661.28,664.16,662.59,16.04
8/9/1996,665.37,660.31,662.59,662.1,15.77
8/12/1996,665.77,658.95,662.1,665.77,15.57
8/13/1996,664.31,659.13,663.68,660.2,16.41
8/14/1996,662.42,658.47,660.2,662.05,15.96
8/15/1996,664.18,660.64,662.05,662.28,15.46
8/16/1996,666.34,662.26,662.28,665.21,14.81
8/19/1996,667.12,665,665.21,666.58,15.27
8/20/1996,666.99,665.15,666.58,665.69,14.73
8/21/1996,665.69,662.16,665.69,665.07,14.52
8/22/1996,670.68,664.88,665.07,670.68,13.71
8/23/1996,670.68,664.93,670.68,667.03,14.18
8/26/1996,667.03,662.36,667.03,663.88,15.38
8/27/1996,666.4,663.5,663.88,666.4,15.11
8/28/1996,667.41,664.39,666.4,664.81,15.1
8/29/1996,664.81,655.35,664.81,657.4,16.22
8/30/1996,657.71,650.52,657.4,651.99,17.01
9/3/1996,655.13,643.97,651.99,654.72,18.47
9/4/1996,655.82,652.93,654.72,655.61,18.64
9/5/1996,655.61,648.89,655.61,649.44,20.51
9/6/1996,658.21,649.44,649.44,655.68,17.1
9/9/1996,663.77,655.68,655.68,663.76,16.36
9/10/1996,665.57,661.55,663.76,663.81,16.25
9/11/1996,667.73,661.79,663.81,667.28,16.06
9/12/1996,673.07,667.28,667.28,671.15,15.97
9/13/1996,681.39,671.15,671.15,680.54,15.2
9/16/1996,686.48,680.53,680.54,683.98,15.43
9/17/1996,685.8,679.96,683.98,682.94,15.74
9/18/1996,683.77,679.75,682.94,681.47,15.86
9/19/1996,684.07,679.06,681.47,683,16.03
9/20/1996,687.07,683,683,687.03,15.65
9/23/1996,687.03,681.01,687.03,686.48,16.46
9/24/1996,690.88,683.54,686.48,685.61,16.45
9/25/1996,688.26,684.92,685.61,685.83,16.22
9/26/1996,690.15,683.77,685.83,685.86,16.11
9/27/1996,687.11,683.73,685.86,686.19,16.1
9/30/1996,690.11,686.03,686.19,687.31,16.95
10/1/1996,689.54,684.44,687.31,689.08,17.05
10/2/1996,694.82,689.08,689.08,694.01,16.78
10/3/1996,694.81,691.78,694.01,692.78,16.77
10/4/1996,701.74,692.78,692.78,701.46,14.8
10/7/1996,704.17,701.39,701.46,703.34,15.11
10/8/1996,705.76,699.88,703.34,700.64,15.58
10/9/1996,702.36,694.42,700.64,696.74,16.09
10/10/1996,696.82,693.34,696.74,694.61,16.26
10/11/1996,700.67,694.61,694.61,700.66,15.07
10/14/1996,705.16,700.66,700.66,703.54,15.13
10/15/1996,708.07,699.07,703.54,702.57,15.83
10/16/1996,704.42,699.15,702.57,704.41,15.6
10/17/1996,708.52,704.76,705,706.99,15.41
10/18/1996,711.04,706.11,706.99,710.82,15.08
10/21/1996,714.1,707.71,710.82,709.85,15.98
10/22/1996,709.85,704.55,709.85,706.57,16.4
10/23/1996,707.31,700.98,706.57,707.27,16.45
10/24/1996,708.25,702.11,707.27,702.29,16.89
10/25/1996,704.11,700.53,702.29,700.92,17.29
10/28/1996,705.4,697.25,700.92,697.26,18.34
10/29/1996,703.25,696.22,697.26,701.5,18.28
10/30/1996,703.44,700.05,701.5,700.9,18.48
10/31/1996,706.61,700.35,700.9,705.27,18.11
11/1/1996,708.6,701.3,705.27,703.77,17.89
11/4/1996,707.02,702.84,703.77,706.73,18.04
11/5/1996,714.56,706.73,706.73,714.14,17.65
11/6/1996,724.6,712.83,714.14,724.59,16.97
11/7/1996,729.49,722.23,724.59,727.65,17.21
11/8/1996,730.82,725.22,727.65,730.82,15.78
11/11/1996,732.6,729.94,730.82,731.87,14.04
11/12/1996,733.04,728.2,731.87,729.56,15.36
11/13/1996,732.11,728.03,729.56,731.13,14.89
11/14/1996,735.99,729.2,731.13,735.88,13.79
11/15/1996,741.92,735.15,735.88,737.62,14.36
11/18/1996,739.24,734.39,737.62,737.02,15.12
11/19/1996,742.18,736.87,737.02,742.16,15.23
11/20/1996,746.99,740.4,742.16,743.95,15.94
11/21/1996,745.2,741.08,743.95,742.75,15.77
11/22/1996,748.73,742.75,742.75,748.73,14.92
11/25/1996,757.05,747.99,748.73,757.03,15.91
11/26/1996,762.12,752.83,757.03,755.96,16.97
11/27/1996,757.3,753.18,755.96,755,16.96
11/29/1996,758.27,755,755,757.02,17.14
12/2/1996,757.03,751.49,757.02,756.56,17.93
12/3/1996,761.75,747.58,756.56,748.28,18.68
12/4/1996,748.4,738.46,748.28,745.1,17.93
12/5/1996,747.65,742.61,745.1,744.38,18.14
12/6/1996,744.38,726.89,744.38,739.6,18.82
12/9/1996,749.81,739.6,739.6,749.81,17.75
12/10/1996,753.43,747.02,749.76,747.54,17.88
12/11/1996,747.54,732.75,747.54,740.73,19.68
12/12/1996,744.86,729.3,740.73,729.33,20.45
12/13/1996,731.47,721.88,729.33,728.64,21.09
12/16/1996,732.68,719.4,728.64,720.98,21.99
12/17/1996,727.67,716.69,720.98,726.04,20.77
12/18/1996,732.76,726.04,726.04,731.54,19.42
12/19/1996,746.06,731.54,731.54,745.76,18.77
12/20/1996,755.41,745.76,745.76,748.87,18.85
12/23/1996,750.4,743.28,748.87,746.92,19.5
12/24/1996,751.03,746.92,746.92,751.03,18.68
12/26/1996,757.07,751.02,751.02,755.82,18.59
12/27/1996,758.75,754.82,755.82,756.79,19.13
12/30/1996,759.2,752.73,756.79,753.85,19.51
12/31/1996,753.95,740.74,753.85,740.74,20.92
1/2/1997,742.81,729.55,740.74,737.01,21.14
1/3/1997,748.24,737.01,737.01,748.03,19.13
1/6/1997,753.31,743.82,748.03,747.65,19.89
1/7/1997,753.26,742.18,747.65,753.23,19.35
1/8/1997,755.72,747.71,753.23,748.41,20.24
1/9/1997,757.68,748.41,748.41,754.85,20.91
1/10/1997,759.65,746.92,754.85,759.5,19.63
1/13/1997,762.85,756.69,759.5,759.51,19.84
1/14/1997,772.04,759.51,759.51,768.86,19.27
1/15/1997,770.95,763.72,768.86,767.2,19.4
1/16/1997,772.05,765.25,767.2,769.75,19.61
1/17/1997,776.37,769.72,769.75,776.17,18.63
1/20/1997,780.08,774.19,776.17,776.7,18.6
1/21/1997,783.72,772,776.7,782.72,17.81
1/22/1997,786.23,779.56,782.72,786.23,17.09
1/23/1997,794.67,776.64,786.23,777.56,18.47
1/24/1997,778.21,768.17,777.53,770.52,19.33
1/27/1997,771.43,764.18,770.52,765.02,20.16
1/28/1997,776.32,761.75,765.02,765.02,20.74
1/29/1997,772.7,765.02,765.02,772.5,20.23
1/30/1997,784.17,772.5,772.5,784.17,19.47
1/31/1997,791.86,784.17,784.17,786.16,19.47
2/3/1997,787.14,783.12,786.16,786.73,19.58
2/4/1997,789.28,783.68,786.73,789.26,19.43
2/5/1997,792.71,773.43,789.26,778.28,21.06
2/6/1997,780.35,774.45,778.28,780.15,20.16
2/7/1997,789.72,778.19,780.15,789.56,18.9
2/10/1997,793.46,784.69,789.56,785.43,20.65
2/11/1997,789.6,780.95,785.43,789.59,19.97
2/12/1997,802.77,789.59,789.59,802.77,19.48
2/13/1997,812.93,802.77,802.77,811.82,19.23
2/14/1997,812.2,808.15,811.82,808.48,19.18
2/18/1997,816.29,806.34,808.48,816.29,19.7
2/19/1997,817.68,811.2,816.29,812.49,20.61
2/20/1997,812.49,800.35,812.49,802.8,21.41
2/21/1997,804.94,799.99,802.8,801.77,20.55
2/24/1997,810.64,798.42,801.77,810.28,19.84
2/25/1997,812.85,807.65,810.28,812.1,19.98
2/26/1997,812.7,798.13,812.1,805.68,20.74
2/27/1997,805.68,795.06,805.68,795.07,21.08
2/28/1997,795.7,788.5,795.07,790.82,21.1
3/3/1997,795.31,785.66,790.82,795.31,20.89
3/4/1997,798.93,789.98,795.31,790.95,20.62
3/5/1997,801.99,790.95,790.95,801.99,19.49
3/6/1997,804.11,797.5,801.99,798.56,20.48
3/7/1997,808.19,798.56,798.56,804.97,19.32
3/10/1997,813.66,803.66,804.97,813.65,19
3/11/1997,814.9,810.77,813.65,811.34,19.25
3/12/1997,811.34,801.07,811.34,804.26,19.61
3/13/1997,804.26,789.44,804.26,789.56,19.79
3/14/1997,796.88,789.56,789.56,793.17,19.81
3/17/1997,796.28,782.98,793.17,795.71,20.95
3/18/1997,797.18,785.47,795.71,789.66,21.26
3/19/1997,791.59,780.03,789.66,785.77,21.74
3/20/1997,786.29,778.04,785.77,782.65,21.22
3/21/1997,786.44,782.65,782.65,784.1,19.69
3/24/1997,791.01,780.79,784.1,790.89,20.06
3/25/1997,798.11,788.39,790.89,789.07,19.26
3/26/1997,794.89,786.77,789.07,790.5,18.32
3/27/1997,792.58,767.32,790.5,773.88,20.5
3/31/1997,773.88,756.13,773.88,757.12,22.14
4/1/1997,761.49,751.26,757.12,759.64,20.84
4/2/1997,759.65,747.59,759.64,750.11,21.3
4/3/1997,751.04,744.4,750.11,750.32,21.19
4/4/1997,757.9,744.04,750.32,757.9,19.23
4/7/1997,764.82,757.9,757.9,762.13,18.51
4/8/1997,766.25,758.36,762.13,766.12,18.44
4/9/1997,769.53,759.15,766.12,760.6,18.56
4/10/1997,763.73,757.65,760.6,758.34,19.01
4/11/1997,758.34,737.64,758.34,737.65,19.76
4/14/1997,743.73,733.54,737.65,743.73,19.09
4/15/1997,754.72,743.73,743.73,754.72,18.25
4/16/1997,763.53,751.99,754.72,763.53,17.64
4/17/1997,768.55,760.49,763.53,761.77,18.71
4/18/1997,767.93,761.77,761.77,766.34,18.75
4/21/1997,767.39,756.38,766.34,760.37,20.1
4/22/1997,774.64,759.9,760.37,774.61,19.52
4/23/1997,778.19,771.9,774.61,773.64,20.48
4/24/1997,779.89,769.72,773.64,771.18,20.83
4/25/1997,771.18,764.63,771.18,765.37,21.15
4/28/1997,773.89,763.3,765.37,772.96,21.34
4/29/1997,794.44,772.96,772.96,794.05,19.81
4/30/1997,804.13,791.21,794.05,801.34,20.06
5/1/1997,802.95,793.21,801.34,798.53,19.87
5/2/1997,812.99,798.53,798.53,812.97,17.51
5/5/1997,830.29,811.8,812.97,830.24,20.13
5/6/1997,832.29,824.7,830.24,827.76,20.85
5/7/1997,827.76,814.7,827.76,815.62,21.34
5/8/1997,829.09,811.84,815.62,820.26,21.26
5/9/1997,827.69,815.78,820.26,824.78,20.11
5/12/1997,838.56,824.78,824.78,837.66,20.25
5/13/1997,838.49,829.12,837.66,833.13,20.81
5/14/1997,841.29,833.13,833.13,836.04,21.09
5/15/1997,842.45,833.34,836.04,841.88,19.91
5/16/1997,841.88,829.15,841.88,829.75,21.57
5/19/1997,835.92,828.87,829.75,833.27,21.48
5/20/1997,841.96,826.41,833.27,841.66,19.26
5/21/1997,846.87,835.22,841.66,839.35,19.28
5/22/1997,841.91,833.86,839.35,835.66,18.77
5/23/1997,848.49,835.66,835.66,847.03,18.08
5/27/1997,851.53,840.96,847.03,849.71,19.36
5/28/1997,850.95,843.21,849.71,847.21,19.28
5/29/1997,848.96,842.61,847.21,844.08,19.02
5/30/1997,851.87,831.87,844.08,848.28,19.19
6/2/1997,851.34,844.61,848.28,846.36,20.85
6/3/1997,850.56,841.51,846.36,845.48,20.01
6/4/1997,845.55,838.82,845.48,840.11,20.1
6/5/1997,848.89,840.11,840.11,843.43,20.36
6/6/1997,859.24,843.36,843.43,858.01,18.94
6/9/1997,865.14,858.01,858.01,862.91,19.46
6/10/1997,870.05,862.18,862.91,865.27,19.04
6/11/1997,870.66,865.15,865.27,869.57,18.85
6/12/1997,884.34,869.01,869.57,883.48,18.51
6/13/1997,894.69,883.48,883.48,893.27,19.27
6/16/1997,895.17,891.21,893.27,893.9,19.77
6/17/1997,897.6,886.19,893.9,894.42,20.17
6/18/1997,894.42,887.03,894.42,889.06,20.45
6/19/1997,900.09,888.99,889.06,897.99,20.1
6/20/1997,901.77,897.77,897.99,898.7,20.2
6/23/1997,898.7,878.43,898.7,878.62,21.19
6/24/1997,896.75,878.62,878.62,896.34,20.74
6/25/1997,902.09,882.24,896.34,888.99,21.5
6/26/1997,893.21,879.32,888.99,883.68,21.82
6/27/1997,894.7,883.68,883.68,887.3,21.22
6/30/1997,892.62,879.82,887.3,885.14,21.53
7/1/1997,893.88,884.54,885.14,891.03,21
7/2/1997,904.05,891.03,891.03,904.03,19.7
7/3/1997,917.82,904.03,904.03,916.92,17.82
7/7/1997,923.26,909.69,916.92,912.2,19.13
7/8/1997,918.76,911.56,912.2,918.75,18.76
7/9/1997,922.03,902.48,918.75,907.54,20.4
7/10/1997,916.54,904.31,907.54,913.78,19.92
7/11/1997,919.74,913.11,913.78,916.68,19.06
7/14/1997,921.78,912.02,916.7,918.38,19.58
7/15/1997,926.15,914.52,918.38,925.76,19
7/16/1997,939.32,925.76,925.76,936.59,19.36
7/17/1997,936.96,927.9,936.59,931.61,20.54
7/18/1997,931.61,912.9,931.61,915.3,22.28
7/21/1997,915.38,907.12,915.3,912.94,23.51
7/22/1997,934.38,912.94,912.94,933.98,21.77
7/23/1997,941.8,933.98,933.98,936.56,21.3
7/24/1997,941.51,926.91,936.56,940.3,20.96
7/25/1997,945.65,936.09,940.3,938.79,20.82
7/28/1997,942.97,935.19,938.79,936.45,21.84
7/29/1997,942.96,932.56,936.45,942.29,22.02
7/30/1997,953.98,941.98,942.29,952.29,21.39
7/31/1997,957.73,948.89,952.29,954.29,21.48
8/1/1997,955.33,939.05,954.29,947.14,22.29
8/4/1997,953.18,943.6,947.14,950.3,21.94
8/5/1997,954.21,948.92,950.3,952.37,20.64
8/6/1997,962.43,949.45,952.37,960.32,20.05
8/7/1997,964.17,950.87,960.32,951.19,19.77
8/8/1997,951.19,925.74,951.19,933.54,22.46
8/11/1997,938.5,925.39,933.54,937,22.77
8/12/1997,942.99,925.66,937,926.53,23.75
8/13/1997,935.77,916.54,926.53,922.02,24.52
8/14/1997,930.07,916.92,922.02,924.77,23.11
8/15/1997,924.77,900.81,924.77,900.81,24.45
8/18/1997,912.57,893.34,900.81,912.49,24.37
8/19/1997,926.01,912.49,912.49,926.01,22.64
8/20/1997,939.35,924.58,926.01,939.35,21.09
8/21/1997,939.47,921.35,939.35,925.05,23.83
8/22/1997,925.05,905.42,925.05,923.55,24.74
8/25/1997,930.93,917.29,923.55,920.16,24.1
8/26/1997,922.47,911.72,920.16,913.02,24.73
8/27/1997,916.23,903.83,913.02,913.7,24.26
8/28/1997,915.9,898.65,913.7,903.67,24.51
8/29/1997,907.28,896.82,903.67,899.47,24.76
9/2/1997,927.58,899.47,899.47,927.58,24.53
9/3/1997,935.9,926.87,927.58,927.86,24.95
9/4/1997,933.36,925.59,927.86,930.87,25.27
9/5/1997,940.37,924.05,930.87,929.05,24.31
9/8/1997,936.5,929.05,929.05,931.2,24.4
9/9/1997,938.9,927.28,931.2,933.62,23.89
9/10/1997,933.62,918.76,933.62,919.03,24.64
9/11/1997,919.03,902.56,919.03,912.59,25.99
9/12/1997,925.05,906.7,912.59,923.91,25.17
9/15/1997,928.9,919.41,923.91,919.77,25.74
9/16/1997,947.66,919.77,919.77,945.64,23.77
9/17/1997,950.29,941.99,945.64,943,24.1
9/18/1997,958.19,943,943,947.29,23.48
9/19/1997,952.35,943.9,947.29,950.51,22.74
9/22/1997,960.59,950.51,950.51,955.43,22.08
9/23/1997,955.78,948.07,955.43,951.93,22
9/24/1997,959.78,944.07,951.93,944.48,22.64
9/25/1997,947,937.38,944.48,937.91,22.96
9/26/1997,946.44,937.91,937.91,945.22,22.26
9/29/1997,953.96,941.94,945.22,953.34,22.23
9/30/1997,955.17,947.28,953.34,947.28,22.91
10/1/1997,956.71,947.28,947.28,955.41,22.32
10/2/1997,960.46,952.94,955.41,960.46,22.27
10/3/1997,975.47,955.13,960.46,965.03,21.54
10/6/1997,974.16,965.03,965.03,972.69,21.61
10/7/1997,983.12,971.95,972.69,983.12,20.29
10/8/1997,983.12,968.65,983.12,973.84,20.77
10/9/1997,974.72,963.34,973.84,970.62,22.31
10/10/1997,970.62,963.42,970.62,966.98,19.75
10/13/1997,973.46,966.95,966.98,968.1,20.26
10/14/1997,972.86,961.87,968.1,970.28,19.99
10/15/1997,970.28,962.75,970.28,965.72,20.05
10/16/1997,973.38,950.77,965.72,955.23,20.53
10/17/1997,955.23,931.58,955.23,944.16,21.69
10/20/1997,955.72,941.43,944.16,955.61,20.72
10/21/1997,972.56,955.61,955.61,972.28,19.53
10/22/1997,972.61,965.66,972.28,968.49,19.86
10/23/1997,968.49,944.16,968.49,950.69,22.99
10/24/1997,960.04,937.55,950.69,941.64,23.17
10/27/1997,941.64,876.73,941.64,876.99,31.12
10/28/1997,923.09,855.27,876.99,921.85,31.22
10/29/1997,935.24,913.88,921.85,919.16,33.75
10/30/1997,923.28,903.68,919.16,903.68,38.2
10/31/1997,919.93,903.68,903.68,914.62,35.09
11/3/1997,939.02,914.62,914.62,938.99,32.09
11/4/1997,941.4,932.66,938.99,940.76,32.24
11/5/1997,949.62,938.16,940.76,942.76,32.18
11/6/1997,942.85,934.16,942.76,938.03,32.57
11/7/1997,938.03,915.39,938.03,927.51,36.27
11/10/1997,935.9,920.26,927.51,921.13,36.63
11/11/1997,928.29,919.63,921.13,923.78,36.38
11/12/1997,923.88,905.34,923.78,905.96,37.84
11/13/1997,917.79,900.61,905.96,916.66,36.64
11/14/1997,930.44,915.34,916.66,928.35,33.66
11/17/1997,949.66,928.35,928.35,946.2,31.58
11/18/1997,947.65,937.43,946.2,938.23,31.55
11/19/1997,947.28,934.83,938.23,944.59,29.93
11/20/1997,961.83,944.59,944.59,958.98,27.32
11/21/1997,964.55,954.6,958.98,963.09,26.65
11/24/1997,963.09,945.22,963.09,946.67,29.8
11/25/1997,954.47,944.71,951.23,950.82,28.95
11/26/1997,956.47,950.82,950.82,951.64,28.95
11/28/1997,959.13,951.64,951.64,955.4,27.43
12/1/1997,974.78,955.4,955.4,974.78,26.01
12/2/1997,976.2,969.83,974.78,971.68,25.66
12/3/1997,980.81,966.16,971.68,976.77,23.92
12/4/1997,983.36,971.37,976.77,973.1,23.84
12/5/1997,986.25,969.1,973.1,983.79,22.65
12/8/1997,985.67,979.57,983.79,982.37,23.22
12/9/1997,982.37,973.81,982.37,975.78,23.36
12/10/1997,975.78,962.68,975.78,969.79,24.55
12/11/1997,969.79,951.89,969.79,954.94,27.63
12/12/1997,961.32,947,954.94,953.39,27.92
12/15/1997,965.96,953.39,953.39,963.39,27.37
12/16/1997,973,963.39,963.39,968.04,26.11
12/17/1997,974.3,964.25,968.04,965.54,26.33
12/18/1997,965.54,950.55,965.54,955.3,27.19
12/19/1997,955.3,924.92,955.3,946.78,29.18
12/22/1997,956.73,946.25,946.78,953.7,28.56
12/23/1997,954.51,938.91,953.7,939.13,29.86
12/24/1997,942.88,932.7,939.13,932.7,30.27
12/26/1997,939.99,932.7,932.7,936.46,29.27
12/29/1997,953.95,936.46,936.46,953.35,26.79
12/30/1997,970.84,953.35,953.35,970.84,24.38
12/31/1997,975.02,967.41,970.84,970.43,24.01
1/2/1998,975.04,965.73,970.43,975.04,23.42
1/5/1998,982.63,969,975.04,977.07,24.36
1/6/1998,977.07,962.68,977.07,966.58,25.66
1/7/1998,966.58,952.67,966.58,964,25.07
1/8/1998,964,955.04,964,956.05,26.01
1/9/1998,956.05,921.72,956.05,927.69,28.69
1/12/1998,939.25,912.83,927.69,939.21,28.02
1/13/1998,952.14,939.21,939.21,952.12,25.17
1/14/1998,958.12,948,952.12,957.94,23.75
1/15/1998,957.94,950.27,957.94,950.73,23.45
1/16/1998,965.12,950.73,950.73,961.51,21.65
